"Benchmark","Mode","Threads","Samples","Score","Score Error (99,9%)","Unit"
"com.mitchellbosecke.benchmark.Beetl.benchmark","thrpt",1,10,"50836,561356","981,996665","ops/s"
"com.mitchellbosecke.benchmark.Chunk.benchmark","thrpt",1,10,"24673,372773","258,474156","ops/s"
"com.mitchellbosecke.benchmark.Freemarker.benchmark","thrpt",1,10,"19898,591397","406,390036","ops/s"
"com.mitchellbosecke.benchmark.Handlebars.benchmark","thrpt",1,10,"22162,886888","439,659919","ops/s"
"com.mitchellbosecke.benchmark.Httl.benchmark","thrpt",1,10,"54491,259391","913,577814","ops/s"
"com.mitchellbosecke.benchmark.Jetg.benchmark","thrpt",1,10,"47428,150140","4217,165144","ops/s"
"com.mitchellbosecke.benchmark.Jinjava.benchmark","thrpt",1,10,"7639,148161","212,505414","ops/s"
"com.mitchellbosecke.benchmark.Jte.benchmark","thrpt",1,10,"124361,755817","219,339146","ops/s"
"com.mitchellbosecke.benchmark.Mustache.benchmark","thrpt",1,10,"22703,787495","591,882048","ops/s"
"com.mitchellbosecke.benchmark.Pebble.benchmark","thrpt",1,10,"34177,804455","570,591695","ops/s"
"com.mitchellbosecke.benchmark.Rocker.benchmark","thrpt",1,10,"70332,490198","214,208754","ops/s"
"com.mitchellbosecke.benchmark.Rythm.benchmark","thrpt",1,10,"55829,191058","1214,904221","ops/s"
"com.mitchellbosecke.benchmark.Te4j.benchmark","thrpt",1,10,"132470,762013","2173,761134","ops/s"
"com.mitchellbosecke.benchmark.Thymeleaf.benchmark","thrpt",1,10,"5927,747385","172,727411","ops/s"
"com.mitchellbosecke.benchmark.Trimou.benchmark","thrpt",1,10,"26608,573565","1382,135455","ops/s"
"com.mitchellbosecke.benchmark.Velocity.benchmark","thrpt",1,10,"22130,006696","648,798231","ops/s"
